id,area_id:id,district_id:id,name,country_id:id,enable
dis_183,City_1,area_1,ظهرة نمار,base.sa,1
dis_184,City_1,area_1,عتيقة,base.sa,1
dis_185,City_1,area_1,عرقة,base.sa,1
dis_186,City_1,area_1,عكاظ,base.sa,1
dis_187,City_1,area_1,عليشة,base.sa,1
dis_188,City_1,area_1,غبيرة,base.sa,1
dis_189,City_1,area_1,فرعة نساح,base.sa,1
dis_190,City_1,area_1,قرطبة,base.sa,1
dis_191,City_1,area_1,قصور المقبل,base.sa,1
dis_192,City_1,area_1,كلية الملك عبدالعزيز الحربية,base.sa,1
dis_193,City_1,area_1,لبن,base.sa,1
dis_194,City_1,area_1,مشاش السهول,base.sa,1
dis_195,City_1,area_1,معكال,base.sa,1
dis_196,City_1,area_1,ملهم,base.sa,1
dis_197,City_1,area_1,مليح,base.sa,1
dis_198,City_1,area_1,منفوحة,base.sa,1
dis_199,City_1,area_1,منفوحة الجديدة,base.sa,1
dis_200,City_1,area_1,نمار,base.sa,1
dis_201,City_1,area_1,هجرة الحسى,base.sa,1
dis_202,City_1,area_1,هجرة السيباني,base.sa,1
dis_203,City_1,area_1,هجرة العليا,base.sa,1
dis_204,City_1,area_1,هجرة اللغف,base.sa,1
dis_205,City_1,area_1,هجرة المشاعلة,base.sa,1
dis_206,City_1,area_1,هجرة بوضة,base.sa,1
dis_207,City_1,area_1,هجرة سعد,base.sa,1
dis_208,City_1,area_1,هجرة سلطانة,base.sa,1
dis_209,City_1,area_1,هجرة صدر عريدان,base.sa,1
dis_210,City_1,area_1,هجرة غزيز,base.sa,1
dis_211,City_1,area_1,هجرة لبن,base.sa,1
dis_212,City_1,area_1,هيت,base.sa,1
dis_213,City_1,area_1,وادي ذبية السد,base.sa,1
dis_214,City_1,area_1,وادي لبن,base.sa,1
dis_215,City_1,area_1,وادي وبير,base.sa,1
dis_216,City_1,area_1,اسكان القوات البحرية,base.sa,1
dis_217,City_1,area_1,الخزان,base.sa,1
dis_218,City_1,area_1,الشميسي القديم,base.sa,1
dis_219,City_1,area_1,الكلية الامنية,base.sa,1
dis_220,City_1,area_1,خنشليلة,base.sa,1
dis_221,City_1,area_1,المعذر الجنوبي,base.sa,1
dis_222,City_1,area_1,الوادي,base.sa,1
dis_223,City_1,area_1,مدينة الملك عبدالعزيز للتقنية,base.sa,1
dis_224,City_1,area_1,الجبس,base.sa,1
dis_225,City_1,area_1,زهرة البديعة,base.sa,1
dis_226,City_1,area_1,الشعلان,base.sa,1
dis_227,City_1,area_1,الصانع,base.sa,1
dis_228,City_1,area_1,إسكان الحرس الوطني,base.sa,1
dis_229,City_1,area_1,مطار الملك خالد,base.sa,1
dis_230,City_1,area_1,البطحاء,base.sa,1
dis_231,City_1,area_1,الطويلعة,base.sa,1
dis_232,City_1,area_1,الدخل المحدود,base.sa,1
dis_233,City_1,area_1,الياسمين,base.sa,1
dis_234,City_1,area_1,القاعدة الجوية,base.sa,1
dis_235,City_1,area_1,المطار ,base.sa,1
dis_236,City_1,area_1,الاندلس ,base.sa,1
dis_237,City_1,area_1,الجامعيين ,base.sa,1
dis_238,City_1,area_1,الرفيعة,base.sa,1
dis_239,City_1,area_1,الرفيعة,base.sa,1
dis_240,City_1,area_1,البصيرة,base.sa,1
dis_241,City_1,area_1,سلطانه,base.sa,1
dis_242,City_1,area_1,الخليج,base.sa,1
dis_243,City_1,area_1,الفلح,base.sa,1
dis_244,City_1,area_1,الخماسين,base.sa,1
dis_245,City_1,area_1,مخطط الخماسين,base.sa,1
dis_246,City_1,area_1,النويعمة,base.sa,1
dis_247,City_1,area_1,اللدام الشمالي,base.sa,1
dis_248,City_1,area_1,اللدام الجنوبي ,base.sa,1
dis_249,City_1,area_1,الفرعة,base.sa,1
dis_250,City_1,area_1,الولامين,base.sa,1
dis_251,City_1,area_1,مخطط الولامين,base.sa,1
dis_252,City_1,area_1,الشرافاء,base.sa,1
dis_253,City_1,area_1,الرويساء,base.sa,1
dis_254,City_1,area_1,الجوبة,base.sa,1
dis_255,City_1,area_1,المدينة العسكرية,base.sa,1
dis_256,City_1,area_1,المستشفى العسكري,base.sa,1
dis_257,City_1,area_1,المعتلاء,base.sa,1
dis_258,City_1,area_1,مصدة,base.sa,1
dis_259,City_1,area_1,الامير سلمان,base.sa,1
dis_260,City_1,area_1,الملك فهد,base.sa,1
dis_261,City_1,area_1,العزيزية,base.sa,1
dis_262,City_1,area_1,الخالدية,base.sa,1
dis_263,City_1,area_1,البجادية,base.sa,1
dis_264,City_1,area_1,حي السلام,base.sa,1
dis_265,City_1,area_1,الغروب,base.sa,1
dis_266,City_1,area_1,العسكرية,base.sa,1
dis_267,City_1,area_1,ملهم,base.sa,1
dis_268,City_1,area_1,المخطط,base.sa,1
dis_269,City_1,area_1,القصر,base.sa,1
dis_270,City_1,area_1,الحزم,base.sa,1
dis_271,City_1,area_1,الديرة القديمة,base.sa,1
dis_272,City_1,area_1,القويع,base.sa,1
dis_273,City_1,area_1,الفويلق,base.sa,1
dis_274,City_1,area_1,الخالدية,base.sa,1
dis_275,City_1,area_1,حلبان,base.sa,1
dis_276,City_1,area_1,الخروعية,base.sa,1
dis_277,City_1,area_1,الرويضة,base.sa,1
dis_278,City_1,area_1,عنان,base.sa,1
dis_279,City_1,area_1,أبو سليم,base.sa,1
dis_280,City_1,area_1,الزهور,base.sa,1
dis_281,City_1,area_1,قبيبان,base.sa,1
dis_282,City_1,area_1,مزعل,base.sa,1
dis_283,City_1,area_1,اللهدة,base.sa,1
dis_284,City_1,area_1,الزهور,base.sa,1
dis_285,City_1,area_1,الجفونية,base.sa,1
dis_286,City_1,area_1,أبو سليم الغربي,base.sa,1
dis_287,City_1,area_1,العفج,base.sa,1
dis_288,City_1,area_1,المخطط,base.sa,1
dis_289,City_1,area_1,عروى,base.sa,1
dis_290,City_1,area_1,محيرقة,base.sa,1
dis_291,City_1,area_1,نخيلان,base.sa,1
dis_292,City_1,area_1,آل هديل,base.sa,1
dis_293,City_1,area_1,البساتين,base.sa,1
dis_294,City_1,area_1,صبحاء,base.sa,1
dis_295,City_1,area_1,قبيبان,base.sa,1
dis_296,City_1,area_1,طحى,base.sa,1
dis_297,City_1,area_1,الفيحاء,base.sa,1
dis_298,City_1,area_1,اليرموك,base.sa,1
dis_299,City_1,area_1,المرقب,base.sa,1
dis_300,City_1,area_1,المرقب بالمجمعة,base.sa,1
dis_301,City_1,area_1,البصيرة بالمجمعة,base.sa,1
dis_302,City_1,area_1,سلطانة بالمجمعة,base.sa,1
dis_303,City_1,area_1,الخليج بالمجمعة,base.sa,1
dis_304,City_1,area_1,السحيمي,base.sa,1
dis_305,City_1,area_1,الفلح بالمجمعة,base.sa,1
dis_306,City_1,area_1,وحدة سجن المجمعة,base.sa,1
dis_307,City_1,area_1,المعتلاء,base.sa,1
dis_308,City_1,area_1,الزويراء,base.sa,1
dis_309,City_1,area_1,كمدة,base.sa,1
dis_310,City_1,area_1,العزيزية,base.sa,1
dis_311,City_1,area_1,ال تميم,base.sa,1
dis_312,City_1,area_1,نزوى,base.sa,1
dis_313,City_1,area_1,العياف,base.sa,1
dis_314,City_1,area_1,الحراقين,base.sa,1
dis_315,City_1,area_1,القويز,base.sa,1
dis_316,City_1,area_1,القوز,base.sa,1
dis_317,City_1,area_1,الخالدية,base.sa,1
dis_318,City_1,area_1,الرمال,base.sa,1
dis_319,City_1,area_1,كميت,base.sa,1
dis_320,City_1,area_1,الديرة,base.sa,1
dis_321,City_1,area_1,آل حمد,base.sa,1
dis_322,City_1,area_1,الحصاة,base.sa,1
dis_323,City_1,area_1,اسكان مطار الملك خالد,base.sa,1
dis_324,City_1,area_1,أخرى,base.sa,1
dis_325,City_1,area_1,الزاهر,base.sa,1
dis_326,City_1,area_1,محطة القطار,base.sa,1
dis_327,City_1,area_1,السهباء,base.sa,1
dis_328,City_1,area_1,النغيق,base.sa,1
dis_329,City_1,area_1,القاعية,base.sa,1
dis_330,City_1,area_1,العقليه,base.sa,1
dis_331,City_1,area_1,ليلى,base.sa,1
dis_332,City_1,area_1,الدوائر,base.sa,1
dis_333,City_1,area_1,البديع الشمالي,base.sa,1
dis_334,City_1,area_1,مروان,base.sa,1
dis_335,City_1,area_1,النذير,base.sa,1
dis_336,City_1,area_1,المؤنسية,base.sa,1
dis_337,City_1,area_1,العارض,base.sa,1
dis_338,City_1,area_1,الأمانه,base.sa,1
