id,name,city_id/id,area_id/id,district_id/id,manager_id/id
dep_601054,اروى بنت كريز مسائي,,,,
dep_601052,حلقة حاطب بن أبي بلتعة (ثانوي),,,,
dep_601051,حلقة حاطب بن أبي بلتعة (متوسط),,,,
dep_601050,حلقة مرارة بن الربيع (كبار),,,,
dep_601049,حلقة أبوسعيد الخدري,,,,
dep_601048,حلقة الشيخ / عبدالرحمن زيد الشلهوب,,,,
dep_601047,حلقة أبو قتادة الأنصاري (كبار),,,,
dep_601046,حلقة مالك بن الحويرث (كبار),,,,
dep_601045,حلقة أبوطلحة الأنصاري,,,,
dep_601044,الإمام الذهبي بمسجدالرفيعة,,,,
dep_601043,نورة الحصيني,,,,
dep_601038,قسم المعاهد والتدريب النسائي ,,,,
dep_601037,الأندلس مسائي,,,,
dep_601035,لولوة الوهيب,,,,
dep_601032,عمر بن عبد العزيز,,,,
dep_601031,الملك عبدالعزيز,,,,
dep_601029,مسجد سعد بن ابي وقاص,,,,
dep_601027,أسيد بن خضير,,,,
dep_601026,مسجد العواد - الفيحاء,,,,
dep_601024,حماد الثقفي,,,,
dep_601023,اليقين - مسائي,,,,
dep_601022,اليقين - صباحي,,,,
dep_601021,بن شويش,,,,
dep_601020,الفريان(عتيقة),,,,
dep_601019,زامل السليم,,,,
dep_601018,صالح الدهش,,,,
dep_601015,حلقة اليمامة الشمالي,,,,
dep_601013,الذكر الحكيم مسائي,,,,
dep_601012,هيله صباحي,,,,
dep_601011,هيله مسائي,,,,
dep_601010,معهد الشمال لإعداد المعلمات ,,,,
dep_601009,معهد الغرب لاعداد المعلمات,,,,
dep_601008,معهد الجنوب لإعداد المعلمات ,,,,
dep_601007,معهد الشرق لإعداد المعلمات ,,,,
dep_601006,آل الشيخ,,,,
dep_601005,فهد منير العتيبي - ابن عمر,,,,
dep_601004,معهد الحمودي للتأهيل والتطوير,,,,
dep_601003,معهد ابن الجزري للتأهيل والتطوير,,,,
dep_601002,معهد سليمان القاسم للتأهيل والتطوير,,,,
dep_601001,معهد بصائر للتأهيل والتطوير,,,,
dep_601000,معهد ايفاد للتأهيل والتطوير,,,,
dep_600999,مركز مهارة للتدريب والتطوير ,,,,
dep_600998,مركز نورين للتدريب والتطوير ,,,,
dep_600997,مركز تدريب الشرق النسائي  للتأهيل والتطوير,,,,
dep_600996,مركز تدريب الجنوب النسائي للتأهيل والتطوير,,,,
dep_600995,مركز تدريب الشمال النسائي للتأهيل والتطوير,,,,
dep_600994,مركز تدريب الغرب النسائي للتأهيل والتطوير,,,,
dep_600993,الأنفال (صباحي),,,,
dep_600992,أم خالد (صباحي),,,,
dep_600986, طرفه بنت حمد المسائية,,,,
dep_600983,مسجد الخفرة - مجمع بينات التعليمي النموذجي,,,,
dep_600982,قسم إشراف الدائري الغربي,,,,
dep_600978,محمد عبد العزيز الجميح - مجمع مشكاة التعليمي النموذجي,,,,
dep_600975,عبد الله بن تركي الضحيان,,,,
dep_600974,الخلفاء الراشدين,,,,
dep_600971,مركز اشراف العزيزية القسم النسائي,,,,
dep_600966,نور الهداية صباحي,,,,
dep_600965,بن سحيم,,,,
dep_600953,الخضير ,,,,
dep_600952,حلقات والدة علي الهزاع,,,,
dep_600951,طرفة بنت حمد- مجمع العلماء التعليمي,,,,
dep_600949,السبعان,,,,
dep_600948,الأمير محمد بن سعود,,,,
dep_600946,جامع الصانع 2 حلقات مؤمن _ مجمع قرآني,,,,
dep_600945,والدة الأمير طلال بن سعود - مجمع الفاروق التعليمي,,,,
dep_600944,الفتاة صباحاً,,,,
dep_600943,مسجد سعد بن أبي وقاص - ب,,,,
dep_600942,الإحسان,,,,
dep_600939,جامع عبد العزيز العسكر,,,,
dep_600938,حلقات البيان بجامع معزي العصيمي,,,,
dep_600928,جامع الأمير فهد بن محمد آل سعود,,,,
dep_600927,سيرين القبطية صباحاً,,,,
dep_600921,أم سلمة ( الروضة ) مسائي,,,,
dep_600917,مسجد عبدالعزيز الخريف - مجمع الوقار التعليمي,,,,
dep_600916,مسجد عمير بن سعد الانصاري - مجمع الوقار التعليمي,,,,
dep_600915,جامع الصغير - مجمع الوقار التعليمي ,,,,
dep_600914,مسجد رياض الصالحين,,,,
dep_600913,الماجد,,,,
dep_600912,مشرفة ,,,,
dep_600911,عبد الله بن سعيد القحطاني,,,,
dep_600906,القسم النسائي - الغرب,,,,
dep_600895,البطيحان ,,,,
dep_600894,البدر,,,,
dep_600892,منيرة الشبيلي,,,,
dep_600891,نورة السويلم (صباحي),,,,
dep_600890,الحياء صباحي,,,,
dep_600889,رقية صباحي,,,,
dep_600888,الشقائق صباحي,,,,
dep_600887,طيبة صباحي,,,,
dep_600886,السنة صباحي,,,,
dep_600885,رزينة صباحي,,,,
dep_600884,الروابي صباحي,,,,
dep_600867,عبدالعزيز عبدالكريم المعيوف,,,,
dep_600866, الفريان(الخالدية),,,,
dep_600864,فهد العويضة صباحي -الخليج ,,,,
dep_600856,القسم النسائي - الشمال,,,,
dep_600852,الأمير سلطان بن عبد العزيز ,,,,
dep_600850,الماهرات مسائي,,,,
dep_600849,محمد بن فهد بن جريس,,,,
dep_600848,حصة بنت سليمان الراضي,,,,
dep_600846,الشيخ محمد علي الصانع - مجمع مشكاة,,,,
dep_600845,مقرأة الروضة,,,,
dep_600843,مقرأة مركز الروضة,,,,
dep_600837,حماد القريني,,,,
dep_600836,جامع عبدالرحمن الخنيفر,,,,
dep_600835,مسجد لطيفة حلقات التوحيد,,,,
dep_600834,عائشة بنت أبي بكر الصديق مسائي,,,,
dep_600833,مسجد ذو النورين,,,,
dep_600832,مسجد الشيخ ناصر الرميح,,,,
dep_600830,دوح الكتاب مسائي,,,,
dep_600829,جامع الشيخ عبدالله بن محمد أبا الخيل,,,,
dep_600827,مسجد عبدالله العتيبي,,,,
dep_600826,حلقات شارع الوزير,,,,
dep_600825,النهضة مسائي,,,,
dep_600820,الأبوين/ مجمع القراء التعليمي,,,,
dep_600819,الخيرات - صباحي,,,,
dep_600818,صالح الراجحي - المجمع النموذجي,,,,
dep_600816,عبدالعزيز بن بدر العسكر,,,,
dep_600815,طرفة المقبل,,,,
dep_600814,عبد الله تركي الضحيان,,,,
dep_600813,والدة سعد الدريس,,,,
dep_600812,جامع العمري,,,,
dep_600811,مسجد والدة محمد النشمي,,,,
dep_600810,ناصر الشثري,,,,
dep_600808,الشبانات,,,,
dep_600807,الدريهمية الاوسط,,,,
dep_600806,مريم بنت عمران صباحي,,,,
dep_600805,الجواهر الحسان مسائي,,,,
dep_600804,مسجد ابي عبدالله البخاري,,,,
dep_600803,حلقات الفاروق,,,,
dep_600801,الخنساء - مسائي,,,,
dep_600799,الشيخ التويجري,,,,
dep_600798,حلقات جامع ابن القيم ,,,,
dep_600797,حلقات محمد منصور الراجحي,,,,
dep_600796,جامع أبي بكر الصديق ( أبو الأسود ),,,,
dep_600795,الصحابة(اليمامة),,,,
dep_600793,الخليل ابراهيم ,,,,
dep_600792,دارة الملك عبدالعزيز,,,,
dep_600791,الراجحي باسكان الملك سلمان ,,,,
dep_600788,قسم شؤون الطالبات,,,,
dep_600785,منيرة شويش المطيري مسائي,,,,
dep_600784,الحمراء صباحي,,,,
dep_600782,دار الفرقان ,,,,
dep_600781,دار الذكر النسائية بالمزاحمية,,,,
dep_600776,الصديقة بنت الصديق (صباحي),,,,
dep_600775,الصديقة بنت الصديق مسائي,,,,
dep_600773,عبدالله بن مسعود مسائي,,,,
dep_600771,محمد بن عبدالوهاب مسائي,,,,
dep_600767,قطيم القحطاني (الدار البيضاء),,,,
dep_600766,حلقات المثناة,,,,
dep_600765,بن عثيمين,,,,
dep_600761,رياض الصالحين - جامع الفاروق,,,,
dep_600759,براعم القرآن,,,,
dep_600758,رياض الجنة صباحي,,,,
dep_600757,هجرة آل غصين,,,,
dep_600755,زينب بنت جحش,,,,
dep_600754,مكتب إشراف حلقات صبحاء,,,,
dep_600753,أم كلثوم ,,,,
dep_600751,نسيبة بنت كعب,,,,
dep_600750,الحضانة,,,,
dep_600749,كعب بن مالك بمسجد شرقي الفيفة,,,,
dep_600748,ربعي بن عامر,,,,
dep_600746,الطفيل بن عمرو الدوسي,,,,
dep_600745,العمور,,,,
dep_600744,حلقات العجلان,,,,
dep_600742,حلقات الفدا,,,,
dep_600740,الأمير فهد بن محمد آل سعود,,,,
dep_600738,مسجد الحمزة,,,,
dep_600737,التعاون - صباحي,,,,
dep_600732,الملك سعود/ مجمع القراء التعليمي,,,,
dep_600731,افانين القرآن مسائي,,,,
dep_600730,مجمع الفلاح التعليمي بجامع البابطين,,,,
dep_600729,باجد,,,,
dep_600728,خادم الحرمين الشريفين الملك عبدالله بن عبدالعزيز- مجمع ابي موسى الاشعري النموذجي,,,,
dep_600726,مجمع المطوع القرآني,,,,
dep_600725,الفوزان,,,,
dep_600724,دار خديجة,,,,
dep_600723,دار حفصه,,,,
dep_600722,هند بنت عتبة - صباحي,,,,
dep_600721,ام الوليد بنت عمر بن الخطاب صباحي,,,,
dep_600720,الربيع - صباحي,,,,
dep_600718,قسم علاقات المحسنين - الموارد,,,,
dep_600714,قسم الاستثمار,,,,
dep_600710,قسم الموارد البشرية,,,,
dep_600709,قسم البرامج والمناهج,,,,
dep_600708,قسم حلقات البنين,,,,
dep_600706,العقيق صباحي,,,,
dep_600704,ام سلمة المصيف مسائي,,,,
dep_600703,نورة بنت سليمان ( نور الهدى ),,,,
dep_600701,القيم,,,,
dep_600700,سليمان الربيش مسائي,,,,
dep_600698,دار حويمضة النسائية,,,,
dep_600697,مدرسة ام يوسف العطير ,,,,
dep_600695,الفتح,,,,
dep_600689,مانع الجهني,,,,
dep_600687,الفتح - مسائي,,,,
dep_600686,حبيبة بنت جحش صباحي,,,,
dep_600682,الشيخ عبدالله المرشد,,,,
dep_600681,الندى,,,,
dep_600680,فهد العويضة مسائي -الحمراء,,,,
dep_600679,حفصة بنت عمر مسائي,,,,
dep_600678,مزنة الحديثي صباحي,,,,
dep_600677,الخيرات مسائي,,,,
dep_600676,عمرة بنت رواحة صباحي,,,,
dep_600675,عبد الله الهداب النسائية,,,,
dep_600674,جامع المديميغ,,,,
dep_600673,مسجد الحميميدي,,,,
dep_600672,السنابل مسائي,,,,
dep_600670,البابطين صباحي,,,,
dep_600669,القسم النسائي - الموارد والعلاقات,,,,
dep_600668,قسم الاستقطاع - الموارد,,,,
dep_600667,قسم التواصل - الموارد,,,,
dep_600666,قسم العلاقات - الموارد,,,,
dep_600664,قسم التخطيط - الموارد,,,,
dep_600663,الذاكرات مسائي,,,,
dep_600661,الملك عبدالعزيز مسائي,,,,
dep_600659,عبد الله بن جبرين,,,,
dep_600658,سلمى بنت عميس مسائي,,,,
dep_600657,القري الطويل - مجمع قرآني,,,,
dep_600656,لطيفة الجابر,,,,
dep_600653,العفيفات مسائي,,,,
dep_600652,بن سعيد,,,,
dep_600649,مزنة السبيعي ( الدار البيضاء ),,,,
dep_600648,المثاني صباحي,,,,
dep_600647,أم طالب بنت ابي طالب الهاشمية - مسائية,,,,
dep_600646,لولوة الدهش - مسائية,,,,
dep_600644,التوحيد ,,,,
dep_600643,اللؤلؤه مسائي,,,,
dep_600642,عبد الله بن رواحة,,,,
dep_600641,أبو بكر -الجزيرة,,,,
dep_600639,مجاهد المجاهد ,,,,
dep_600638,النسيم صباحي,,,,
dep_600637,خديجة بنت خويلد صباحي,,,,
dep_600636,عمرة بنت عبد الرحمن مسائي,,,,
dep_600635,الفردوس صباحي,,,,
dep_600633,المنار صباحي,,,,
dep_600632,الفردوس مسائية,,,,
dep_600631,ساره الحميزي مسائي,,,,
dep_600630,نورة السويلم  مسائي,,,,
dep_600628,تاج الوقار فرع الورود مسائي,,,,
dep_600627,السمو مسائي,,,,
dep_600625,خالد السلمان,,,,
dep_600624,جامع الأمير سلطان,,,,
dep_600623,سليمان السبت,,,,
dep_600582,جمعية تحفيظ القرآن الأحساء,,,,
dep_600520,عبدالعزيز الحقباني - مجمع الوقار التعليمي,,,,
dep_600519,الياسمين المسائية,,,,
dep_600517,وليد بن شويه ,,,,
dep_600516,مسجد سليمان الجوير,,,,
dep_600514,مجمع الرياحين - النسيم الشرقي - الصفوة,,,,
dep_600512,عبدالله بن سلمه,,,,
