id,name
Job_324,رئيس وحدة المشاريع
Job_325,رئيس قسم العلاقات
Job_326,متابعة ومشاريع
Job_327,رئيس وحدة التدريب
Job_328,رئيس وحدة التقارير
Job_329,مدقق مالي
Job_330,منسقة معارض
Job_331,مشرفة الاستقطاع
Job_332,منسقة علاقات عامة
Job_333,مدربة
Job_334,مشرف جودة ومتابعة
Job_335,مصمم
Job_336,منسق استقطاع
Job_337,رئيس وحدة علاقات المحسنين
Job_338,محاسب ميزانية
Job_339,رئيس وحدة السداد
Job_340,منسقة التوظيف
Job_341,مشرف خدمات رجالية
Job_342,رئيس قسم الدراسات والتقويم
Job_343,رئيسة وحدة التأهيل
Job_344,رئيس وحدة التاهيل
Job_345,مشرفة وحدة المعاهد
Job_346,منسقة البرامج والمشاريع
Job_347,رئيسة وحدة التدريب
Job_348,مشرفة هيئة التدريس
Job_349,مشرفة العلاقات والتقنية
Job_350,مساعدة مديرة
Job_351,عضو لجنة أختبارات
Job_352,مديرة فرع
Job_353,مشرف برنامج الإقراء
Job_354,معلم بأكاديمية تاج نت
Job_355,معلمه بأكاديمية تاج نت
Job_356,مدير تنفيذي بأكاديمية تاج نت
Job_357,مشرفة وحدة شؤون الطالبات
Job_358,مشرفة البرامج والخريجات
Job_359,مشرف-مشرفة تنسيق ومتابعة
Job_360,أمين معهد
Job_361,أمينة مقصف
Job_362,أخصائية حقائب تدريبية
Job_363,رئيسة قسم الخدمات
Job_364,أخصائية تقنية نعلومات
Job_365,مدير مشروع
Job_366,منسق تدريب متعدد
Job_367,رئيسة قسم المعاهد والتدريب النسائي
Job_368,مستشارة إدارية
Job_369,منسق البرامج والمشاريع
Job_370,رئيس قسم الاستقطاع
Job_371,مندوب معرض (نسائية)
Job_372,مشرف البرامج التعليمية
Job_373,رئيس قسم الرقابه
Job_374,منسقة النشاط والبرامج
Job_375,منسق علاقات
Job_376,فني صيانة كهربائي
Job_377,رئيسة وحدة العلاقات العامه
Job_378,رئيس وحدة العلاقات الخارجية
Job_379,المديرة التنفيذية لبناء رعاية الموهوبات
Job_380,مديرة فرع لرعاية الموهوبات
Job_381,مدير المتابعة والتطوير
